"ProcessName","Path","Id"
"Sendevsvc",,"5292"
"services",,"944"
"SgrmBroker",,"16092"
"ShellExperienceHost","C:\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe","14736"
"sihost","C:\Windows\system32\sihost.exe","15756"
"smss",,"516"
"spoolsv",,"4724"
"Start_HDR",,"3616"
"StartMenuExperienceHost","C:\Windows\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe","2692"
"svchost",,"608"
"svchost",,"1132"
"svchost",,"1180"
"svchost",,"1324"
"svchost",,"1444"
"svchost",,"1532"
"svchost",,"1584"
"svchost",,"1600"
"svchost",,"1656"
"svchost",,"1664"
"svchost",,"1672"
"svchost",,"1692"
"svchost",,"1796"
"svchost",,"1860"
"svchost",,"1912"
"svchost",,"1940"
"svchost",,"1964"
"svchost",,"2052"
"svchost",,"2304"
"svchost",,"2328"
"svchost",,"2556"
"svchost",,"2564"
"svchost",,"2616"
"svchost",,"2664"
"svchost",,"2708"
"svchost",,"2732"
"svchost",,"2816"
"svchost",,"2936"
"svchost",,"2952"
"svchost",,"3184"
"svchost",,"3248"
"svchost",,"3332"
"svchost",,"3340"
"svchost",,"3708"
"svchost",,"3872"
"svchost",,"4192"
"svchost",,"4284"
"svchost",,"4360"
"svchost",,"4428"
"svchost",,"4492"
"svchost",,"4760"
"svchost",,"4908"
"svchost",,"5020"
"svchost",,"5048"
"svchost",,"5056"
"svchost",,"5076"
"svchost",,"5084"
"svchost",,"5128"
"svchost",,"5456"
"svchost",,"5548"
"svchost",,"5632"
"svchost",,"5656"
"svchost",,"5668"
"svchost",,"5740"
"svchost",,"5884"
"svchost",,"5976"
"svchost",,"6936"
"svchost",,"6984"
"svchost",,"7128"
"svchost",,"8464"
"svchost",,"8652"
"svchost",,"8780"
"svchost",,"9392"
"svchost",,"9524"
"svchost",,"9844"
"svchost",,"9864"
"svchost",,"10400"
"svchost",,"10444"
"svchost",,"12476"
"svchost",,"12692"
"svchost",,"15200"
"svchost",,"15440"
"svchost","C:\Windows\system32\svchost.exe","16832"
"svchost",,"17356"
"svchost","C:\Windows\system32\svchost.exe","19008"
"svchost","C:\Windows\system32\svchost.exe","19516"
"svchost",,"19704"
"svchost",,"19824"
"svchost",,"21064"
"svchost","C:\Windows\system32\svchost.exe","21460"
"svchost",,"24264"
"System",,"4"
"SystemSettings","C:\Windows\ImmersiveControlPanel\SystemSettings.exe","20052"
"taskhostw","C:\Windows\system32\taskhostw.exe","4672"
"taskhostw","C:\Windows\system32\taskhostw.exe","16488"
"taskhostw",,"21400"
"TextInputHost","C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\TextInputHost.exe","3372"
"THXService",,"5520"
"tmInstall",,"5536"
"UserOOBEBroker","C:\Windows\System32\oobe\UserOOBEBroker.exe","16148"
"vmnat",,"5616"
"vmnetdhcp",,"5568"
"vmware-authd",,"5560"
"vmware-usbarbitrator64",,"5588"
"VoiceControl_Engine",,"19356"
"VoiceControl_Service",,"5284"
"wininit",,"896"
"winlogon",,"18476"
"wlanext",,"4588"
"WmiPrvSE",,"3572"
"WmiPrvSE",,"4076"
"WmiPrvSE",,"12300"
"WUDFHost",,"1096"
"WUDFHost",,"2392"
"WUDFHost",,"3268"
"WUDFHost",,"19452"
